iter	Passed	Remaining
0	299	59599
1	334	33079
2	423	27833
3	502	24624
4	559	21821
5	630	20374
6	711	19606
7	830	19932
8	910	19332
9	971	18464
10	974	16747
11	1045	16377
12	1126	16197
13	1230	16346
14	1306	16112
15	1402	16123
16	1458	15700
17	1460	14766
18	1563	14890
19	1682	15146
20	1684	14357
21	1778	14389
22	1905	14663
23	1999	14659
24	2115	14810
25	2239	14988
26	2333	14954
27	2458	15103
28	2574	15178
29	2673	15147
30	2790	15210
31	2893	15191
32	3014	15255
33	3105	15160
34	3210	15135
35	3307	15067
36	3404	14996
37	3520	15010
38	3626	14970
39	3735	14943
40	3837	14881
41	3920	14748
42	4029	14712
43	4155	14734
44	4281	14746
45	4394	14710
46	4526	14736
47	4636	14681
48	4737	14598
49	4849	14547
50	4928	14399
51	5023	14298
52	5111	14177
53	5275	14263
54	5360	14131
55	5457	14034
56	5544	13910
57	5633	13791
58	5754	13751
59	6229	14534
60	6353	14478
61	6452	14362
62	6560	14266
63	6270	13324
64	6365	13220
65	6462	13120
66	7032	13960
67	7153	13887
68	7254	13772
69	7372	13690
70	7477	13586
71	7587	13488
72	7691	13381
73	7814	13306
74	7904	13174
75	7992	13040
76	8087	12919
77	8181	12797
78	8277	12678
79	8383	12575
80	8485	12466
81	8565	12326
82	8211	11575
83	8325	11497
84	8413	11382
85	8490	11255
86	8565	11125
87	8634	10989
88	8703	10855
89	8771	10721
90	8837	10585
91	8900	10448
92	9457	10881
93	9039	10193
94	9120	10080
95	9182	9948
96	9243	9815
97	9337	9719
98	9405	9595
99	9478	9478
100	9554	9365
101	9607	9230
102	9687	9123
103	9740	8991
104	9804	8870
105	9863	8747
106	9924	8625
107	9990	8510
108	10053	8393
109	10110	8272
110	10175	8158
111	10237	8043
112	10296	7927
113	10365	7819
114	10434	7712
115	10501	7604
116	10558	7490
117	10632	7388
118	10693	7278
119	10759	7172
120	10821	7065
121	10889	6962
122	10943	6850
123	11013	6749
124	11078	6647
125	11163	6556
126	11217	6447
127	11289	6350
128	11350	6246
129	11408	6143
130	11472	6042
131	11520	5934
132	11568	5827
133	11613	5719
134	11661	5614
135	11706	5508
136	11751	5403
137	11799	5301
138	11843	5197
139	11883	5093
140	11923	4989
141	11965	4887
142	12011	4787
143	12055	4688
144	12105	4591
145	12150	4494
146	12198	4398
147	12238	4300
148	12281	4203
149	12321	4107
150	12367	4013
151	12410	3919
152	12450	3824
153	12495	3732
154	12535	3639
155	12575	3547
156	12619	3456
157	12662	3365
158	12701	3275
159	12743	3185
160	12784	3096
161	12827	3008
162	12870	2921
163	12916	2835
164	12972	2751
165	13032	2669
166	13081	2585
167	13138	2502
168	13195	2420
169	13247	2337
170	13298	2255
171	13352	2173
172	13406	2092
173	13461	2011
174	13519	1931
175	13569	1850
176	13618	1769
177	13664	1688
178	13716	1609
179	13780	1531
180	13837	1452
181	13891	1373
182	13942	1295
183	13992	1216
184	14050	1139
185	14104	1061
186	14159	984
187	14214	907
188	14261	830
189	14323	753
190	14379	677
191	14431	601
192	14479	525
193	14536	449
194	14589	374
195	14641	298
196	14690	223
197	14741	148
198	14790	74
199	14840	0

199	15525	0
	0
